ALC Code,ALC Name,SBU
57210164,Jayesh Computers,SBU 4
57210168,Shree Computers,SBU 7
57210082,Param Infotech,SBU 4
57210072,I T C Education,SBU 7
57210497,Ajinkya Infotech,SBU 7
57210488,Shree Samarth Computer,SBU 6
57210529,SHREE SAI COMPUTER TRAINING CENTER,SBU 7
57210079,Prime Computers,SBU 4
57210375,QABIL-NX COMPUTERS,SBU 4
57210395,Deepkiran Computers,SBU 4
57210180,Ankita Computers,SBU 7
57210078,Mahendra Computers,SBU 4
57210355,SHREE SWAMI SAMARTH COMPUTER & TECHNICAL INSTITUTE UMARANA,SBU 4
57210260,Perfect Computers,SBU 7
57210406,Sai Infotech,SBU 7
57210172,Vt`S Computers,SBU 6
57210179,Shivani Computer,SBU 7
57210493,NEW HIGH-TECH COMPUTER EDUCATION,SBU 7
57210062,I C S Computer Centre,SBU 6
57210331,JYOTIRMAY COMPUTERS,SBU 6
57210218,Space Computer Academy,SBU 6
57210190,Shubham Computers,SBU 6
57210075,Hindustan Computers,SBU 4
57210552,ICS Computers,SBU 6
57210006,Ascent Computer Education,SBU 7
57210086,Qabil Computers,SBU 4
57210289,Destiny Computers,SBU 7
57210141,Sagar Computers,SBU 4
57210098,Shivam Computer Academy,SBU 6
57210014,Infocom Computer Institute,SBU 7
57210239,Award Computer,SBU 6
57210228,Infosoft Computers,SBU 7
57210177,Alpha Computers,SBU 7
57210383,ROSHAN COMPUTERS,SBU 7
57210485,Roshan Computers,SBU 7
57210479,ISHWARI COMPUTER ACADEMY,SBU 4
57210432,PERFECT COMPUTERS,SBU 7
57210008,B.A.P. Computers Pvt. Ltd.,SBU 7
57210114,Sumangal Computer Institute,SBU 4
57210232,Prabhat Computers,SBU 7
57210112,Sushrut Computers,SBU 6
57210328,Deore Classes & Computers,SBU 4
57210083,Raj Computers,SBU 6
57210480,"JANTA COMPUTER, TAKED",SBU 4
57210384,Adarsh Computers,SBU 4
57210567,Deepkiran Computers,SBU 4
57210417,Bright Tech Computers,SBU 7
57210009,Comp.Ed.Point,SBU 6
57210100,Shweta Computers,SBU 7
57210211,Pragati Computers,SBU 4
57210354,SITE Computers,SBU 6
57210202,New Hitech Computer Education,SBU 7
57210108,Shree Computer Education,SBU 7
57210273,"VENUS COMPUTERS,GHOTI",SBU 4
57210431,SHREE SWAMI SAMARTH COMPUTER INSTITUTE,SBU 4
